image_id,true_class,source,outcome,framing,predicted_class,mask_area_fraction
000316,NEV,ddi,ASSESSED,pre_framed,ACK,0.6777267456054688
000276,NEV,ddi,ASSESSED,pre_framed,NEV,0.0396728515625
000311,NEV,ddi,ASSESSED,pre_framed,NEV,0.120574951171875
000324,NEV,ddi,ASSESSED,pre_framed,ACK,0.08345794677734375
000321,NEV,ddi,ASSESSED,pre_framed,ACK,0.07391738891601562
000268,NEV,ddi,ASSESSED,pre_framed,NEV,0.6637611389160156
000282,NEV,ddi,ASSESSED,pre_framed,NEV,0.3513603210449219
000270,NEV,ddi,ASSESSED,pre_framed,NEV,0.22049331665039062
000287,NEV,ddi,ASSESSED,pre_framed,SEK,0.2958221435546875
000284,NEV,ddi,ASSESSED,pre_framed,NEV,0.054447174072265625
000308,NEV,ddi,ASSESSED,pre_framed,NEV,0.04528045654296875
000266,NEV,ddi,ASSESSED,pre_framed,NEV,0.06416702270507812
000263,MEL,ddi,ASSESSED,pre_framed,NEV,0.02468109130859375
000261,MEL,ddi,ASSESSED,pre_framed,NEV,0.600250244140625
000045,MEL,ddi,ASSESSED,pre_framed,SCC,0.7375221252441406
000041,MEL,ddi,ASSESSED,pre_framed,NEV,0.5001335144042969
000043,MEL,ddi,ASSESSED,pre_framed,ACK,0.19363021850585938
000050,MEL,ddi,ASSESSED,pre_framed,BCC,0.36310577392578125
000262,MEL,ddi,ASSESSED,pre_framed,BCC,0.31557464599609375
000400,NEV,ddi,ASSESSED,pre_framed,NEV,0.17425918579101562
000427,SEK,ddi,ASSESSED,pre_framed,ACK,0.33481597900390625
000432,SEK,ddi,ASSESSED,pre_framed,BCC,0.18191909790039062
000417,SEK,ddi,ASSESSED,pre_framed,SEK,0.0052032470703125
000357,SEK,ddi,ASSESSED,pre_framed,ACK,0.70526123046875
000355,SEK,ddi,ASSESSED,pre_framed,BCC,0.06600189208984375
000332,SEK,ddi,ASSESSED,pre_framed,ACK,0.48630523681640625
000426,SEK,ddi,ASSESSED,pre_framed,SEK,0.6917266845703125
000434,SEK,ddi,ASSESSED,pre_framed,ACK,0.631500244140625
000418,SEK,ddi,ASSESSED,pre_framed,NEV,0.01497650146484375
000329,SEK,ddi,ASSESSED,pre_framed,ACK,0.5512809753417969
000429,SEK,ddi,ASSESSED,pre_framed,ACK,0.012325286865234375
000396,SEK,ddi,ASSESSED,pre_framed,ACK,0.23818588256835938
000331,SEK,ddi,ASSESSED,pre_framed,NEV,0.4408721923828125
000425,SEK,ddi,ASSESSED,pre_framed,BCC,0.236114501953125
000415,SEK,ddi,ASSESSED,pre_framed,ACK,0.3069572448730469
000330,SEK,ddi,ASSESSED,pre_framed,NEV,0.03377532958984375
000433,SEK,ddi,ASSESSED,pre_framed,ACK,0.3857574462890625
000435,SEK,ddi,ASSESSED,pre_framed,ACK,0.6515350341796875
000419,SEK,ddi,ASSESSED,pre_framed,SEK,0.3956108093261719
000416,SEK,ddi,ASSESSED,pre_framed,NEV,0.0
000358,SEK,ddi,ASSESSED,pre_framed,ACK,0.11112213134765625
000437,SEK,ddi,ASSESSED,pre_framed,BCC,0.648712158203125
000304,SEK,ddi,ASSESSED,pre_framed,SEK,0.023189544677734375
000370,SEK,ddi,ASSESSED,pre_framed,SEK,0.04618072509765625
000260,SEK,ddi,ASSESSED,pre_framed,NEV,0.0149688720703125
000259,SEK,ddi,ASSESSED,pre_framed,ACK,0.21572494506835938
000424,SEK,ddi,ASSESSED,pre_framed,ACK,0.19240951538085938
000371,SEK,ddi,ASSESSED,pre_framed,ACK,0.20788192749023438
000436,SEK,ddi,ASSESSED,pre_framed,BCC,0.2686958312988281
000421,SEK,ddi,ASSESSED,pre_framed,ACK,0.013378143310546875
000052,SCC,ddi,ASSESSED,pre_framed,ACK,0.24123764038085938
000244,SCC,ddi,ASSESSED,pre_framed,BCC,0.16248703002929688
000039,SCC,ddi,ASSESSED,pre_framed,ACK,0.3070640563964844
000038,SCC,ddi,ASSESSED,pre_framed,ACK,0.3869743347167969
000044,SCC,ddi,ASSESSED,pre_framed,SCC,0.2901458740234375
000359,SCC,ddi,ASSESSED,pre_framed,BCC,0.6678657531738281
000502,ACK,ddi,ASSESSED,pre_framed,BCC,0.2531166076660156
000538,ACK,ddi,ASSESSED,pre_framed,SEK,0.5682525634765625
000556,ACK,ddi,ASSESSED,pre_framed,ACK,0.6173820495605469
000501,BCC,ddi,ASSESSED,pre_framed,BCC,0.5043296813964844
000557,BCC,ddi,ASSESSED,pre_framed,SCC,0.08441925048828125
000566,BCC,ddi,ASSESSED,pre_framed,SEK,0.5576324462890625
000552,BCC,ddi,ASSESSED,pre_framed,BCC,0.06852340698242188
000583,BCC,ddi,ASSESSED,pre_framed,SCC,0.8266143798828125
000582,BCC,ddi,QUALITY_REJECTED,,,
000478,BCC,ddi,ASSESSED,pre_framed,SCC,0.7858428955078125
000512,BCC,ddi,ASSESSED,pre_framed,BCC,0.3119010925292969
000551,BCC,ddi,ASSESSED,pre_framed,ACK,0.2003631591796875
000537,BCC,ddi,ASSESSED,pre_framed,ACK,0.5036277770996094
000488,BCC,ddi,ASSESSED,pre_framed,BCC,0.25116729736328125
000543,BCC,ddi,ASSESSED,pre_framed,BCC,0.8020477294921875
000579,BCC,ddi,ASSESSED,pre_framed,BCC,0.5338325500488281
000481,BCC,ddi,ASSESSED,pre_framed,BCC,0.7170600891113281
000519,BCC,ddi,ASSESSED,pre_framed,MEL,0.3061065673828125
000558,BCC,ddi,ASSESSED,pre_framed,ACK,0.4686851501464844
000656,BCC,ddi,ASSESSED,pre_framed,SCC,0.5764389038085938
000588,BCC,ddi,ASSESSED,pre_framed,ACK,0.14754867553710938
000511,BCC,ddi,ASSESSED,pre_framed,BCC,0.2828178405761719
000554,BCC,ddi,ASSESSED,pre_framed,ACK,0.2792015075683594
000637,BCC,ddi,ASSESSED,pre_framed,NEV,0.4224090576171875
000565,BCC,ddi,ASSESSED,pre_framed,ACK,0.32599639892578125
000648,BCC,ddi,ASSESSED,pre_framed,BCC,0.4216461181640625
000589,BCC,ddi,ASSESSED,pre_framed,SEK,0.6773147583007812
000555,BCC,ddi,ASSESSED,pre_framed,ACK,0.2457427978515625
000560,BCC,ddi,ASSESSED,pre_framed,NEV,0.1369781494140625
000484,BCC,ddi,ASSESSED,pre_framed,NEV,0.5038223266601562
000633,BCC,ddi,ASSESSED,pre_framed,NEV,0.0177459716796875
000644,BCC,ddi,ASSESSED,pre_framed,BCC,0.7936782836914062
000630,BCC,ddi,ASSESSED,pre_framed,NEV,0.2658843994140625
000598,BCC,ddi,ASSESSED,pre_framed,ACK,0.1018829345703125
000541,BCC,ddi,ASSESSED,pre_framed,ACK,0.76202392578125
000590,BCC,ddi,ASSESSED,pre_framed,BCC,0.5941390991210938
000616,BCC,ddi,ASSESSED,pre_framed,BCC,0.33318328857421875
000010,BCC,ddi,ASSESSED,pre_framed,NEV,0.10945892333984375
000473,NEV,ddi,ASSESSED,pre_framed,NEV,0.024959564208984375
000651,NEV,ddi,ASSESSED,pre_framed,ACK,0.0522003173828125
000497,NEV,ddi,ASSESSED,pre_framed,ACK,0.0155181884765625
000650,NEV,ddi,ASSESSED,pre_framed,NEV,0.37693023681640625
000243,NEV,ddi,ASSESSED,pre_framed,ACK,0.360809326171875
000505,NEV,ddi,ASSESSED,pre_framed,NEV,0.011096954345703125
000448,NEV,ddi,ASSESSED,pre_framed,NEV,0.26406097412109375
000480,NEV,ddi,ASSESSED,pre_framed,NEV,0.4519844055175781
000576,NEV,ddi,ASSESSED,pre_framed,NEV,0.01129150390625
000625,NEV,ddi,ASSESSED,pre_framed,NEV,0.35002899169921875
000461,NEV,ddi,ASSESSED,pre_framed,NEV,0.30478668212890625
000528,NEV,ddi,ASSESSED,pre_framed,NEV,0.29620361328125
000586,NEV,ddi,ASSESSED,pre_framed,NEV,0.4255867004394531
000446,NEV,ddi,ASSESSED,pre_framed,NEV,0.3755455017089844
000513,NEV,ddi,ASSESSED,pre_framed,ACK,0.24442291259765625
000611,NEV,ddi,ASSESSED,pre_framed,ACK,0.8828010559082031
000442,NEV,ddi,ASSESSED,pre_framed,ACK,0.3130912780761719
000527,NEV,ddi,ASSESSED,pre_framed,NEV,0.00482177734375
000457,NEV,ddi,ASSESSED,pre_framed,NEV,0.44586181640625
000526,NEV,ddi,ASSESSED,pre_framed,NEV,0.2536773681640625
000189,NEV,ddi,ASSESSED,pre_framed,ACK,0.40004730224609375
000462,NEV,ddi,ASSESSED,pre_framed,MEL,0.49124908447265625
000099,NEV,ddi,ASSESSED,pre_framed,NEV,0.701507568359375
000452,NEV,ddi,ASSESSED,pre_framed,NEV,0.3952064514160156
000636,NEV,ddi,ASSESSED,pre_framed,ACK,0.6110763549804688
000624,NEV,ddi,ASSESSED,pre_framed,NEV,0.4872093200683594
000638,NEV,ddi,ASSESSED,pre_framed,NEV,0.24845504760742188
000458,NEV,ddi,ASSESSED,pre_framed,ACK,0.44626617431640625
000098,NEV,ddi,ASSESSED,pre_framed,NEV,0.7490959167480469
000626,NEV,ddi,ASSESSED,pre_framed,NEV,0.23160171508789062
000454,NEV,ddi,ASSESSED,pre_framed,NEV,0.1220703125
000504,NEV,ddi,ASSESSED,pre_framed,ACK,0.5759239196777344
000036,NEV,ddi,ASSESSED,pre_framed,NEV,0.2518196105957031
000641,NEV,ddi,ASSESSED,pre_framed,NEV,0.4311637878417969
000631,NEV,ddi,ASSESSED,pre_framed,NEV,0.010944366455078125
000628,NEV,ddi,ASSESSED,pre_framed,NEV,0.17900848388671875
000465,NEV,ddi,ASSESSED,pre_framed,NEV,0.27474212646484375
000646,NEV,ddi,ASSESSED,pre_framed,MEL,0.5172653198242188
000580,NEV,ddi,ASSESSED,pre_framed,NEV,0.17600631713867188
000459,NEV,ddi,ASSESSED,pre_framed,NEV,0.31231689453125
000100,NEV,ddi,ASSESSED,pre_framed,NEV,0.3379402160644531
000615,NEV,ddi,ASSESSED,pre_framed,NEV,0.21581649780273438
000110,NEV,ddi,ASSESSED,pre_framed,NEV,0.3018074035644531
000064,NEV,ddi,ASSESSED,pre_framed,ACK,0.4461326599121094
000571,NEV,ddi,ASSESSED,pre_framed,NEV,0.3104400634765625
000645,NEV,ddi,ASSESSED,pre_framed,NEV,0.439849853515625
000447,NEV,ddi,ASSESSED,pre_framed,MEL,0.6480636596679688
000194,NEV,ddi,ASSESSED,pre_framed,NEV,0.4819984436035156
000516,NEV,ddi,ASSESSED,pre_framed,NEV,0.4777565002441406
000620,NEV,ddi,ASSESSED,pre_framed,NEV,0.2527580261230469
000548,NEV,ddi,ASSESSED,pre_framed,NEV,0.07513046264648438
000184,NEV,ddi,ASSESSED,pre_framed,NEV,0.37939453125
000460,NEV,ddi,ASSESSED,pre_framed,NEV,0.2907676696777344
000643,NEV,ddi,ASSESSED,pre_framed,NEV,0.09477615356445312
000642,NEV,ddi,ASSESSED,pre_framed,NEV,0.15663909912109375
000466,NEV,ddi,ASSESSED,pre_framed,NEV,0.4408149719238281
000499,NEV,ddi,ASSESSED,pre_framed,NEV,0.02892303466796875
000629,NEV,ddi,ASSESSED,pre_framed,ACK,0.17519378662109375
000529,NEV,ddi,ASSESSED,pre_framed,NEV,0.2693023681640625
000222,NEV,ddi,ASSESSED,pre_framed,NEV,0.5084152221679688
000653,NEV,ddi,ASSESSED,pre_framed,NEV,0.15022659301757812
000563,NEV,ddi,ASSESSED,pre_framed,BCC,0.16263580322265625
000475,NEV,ddi,ASSESSED,pre_framed,NEV,0.06372451782226562
000614,NEV,ddi,ASSESSED,pre_framed,NEV,0.0512542724609375
000498,NEV,ddi,ASSESSED,pre_framed,NEV,0.056087493896484375
000632,NEV,ddi,ASSESSED,pre_framed,NEV,0.02738189697265625
000495,NEV,ddi,ASSESSED,pre_framed,ACK,0.16244125366210938
000570,MEL,ddi,ASSESSED,pre_framed,NEV,0.04119873046875
000493,MEL,ddi,ASSESSED,pre_framed,ACK,0.3408966064453125
000451,MEL,ddi,ASSESSED,pre_framed,NEV,0.00521087646484375
000443,MEL,ddi,ASSESSED,pre_framed,NEV,0.7407913208007812
000594,MEL,ddi,ASSESSED,pre_framed,NEV,0.19061660766601562
000635,MEL,ddi,ASSESSED,pre_framed,NEV,0.3030853271484375
000522,MEL,ddi,ASSESSED,pre_framed,NEV,0.37976837158203125
000362,SEK,ddi,ASSESSED,pre_framed,NEV,0.5799217224121094
000595,SEK,ddi,ASSESSED,pre_framed,NEV,0.09287643432617188
000363,SEK,ddi,ASSESSED,pre_framed,NEV,0.5306549072265625
000534,SEK,ddi,ASSESSED,pre_framed,MEL,0.13366317749023438
000503,SEK,ddi,ASSESSED,pre_framed,BCC,0.14873886108398438
000608,SEK,ddi,ASSESSED,pre_framed,SEK,0.27504730224609375
000623,SEK,ddi,ASSESSED,pre_framed,BCC,0.05908203125
000605,SEK,ddi,ASSESSED,pre_framed,NEV,0.13871383666992188
000476,SEK,ddi,ASSESSED,pre_framed,ACK,0.7080726623535156
000449,SEK,ddi,ASSESSED,pre_framed,ACK,0.836639404296875
000542,SEK,ddi,ASSESSED,pre_framed,NEV,0.18472671508789062
000082,SEK,ddi,ASSESSED,pre_framed,NEV,0.3840293884277344
000482,SEK,ddi,ASSESSED,pre_framed,ACK,0.38239288330078125
000601,SEK,ddi,ASSESSED,pre_framed,NEV,0.08078384399414062
000445,SEK,ddi,ASSESSED,pre_framed,SEK,0.27735137939453125
000602,SEK,ddi,ASSESSED,pre_framed,NEV,0.3780784606933594
000224,SEK,ddi,ASSESSED,pre_framed,NEV,0.5455131530761719
000569,SEK,ddi,ASSESSED,pre_framed,SEK,0.11960601806640625
000062,SEK,ddi,ASSESSED,pre_framed,ACK,0.069091796875
000485,SCC,ddi,ASSESSED,pre_framed,SCC,0.6228790283203125
000483,SCC,ddi,ASSESSED,pre_framed,NEV,0.6809196472167969
000567,SCC,ddi,ASSESSED,pre_framed,BCC,0.5125694274902344
000587,SCC,ddi,ASSESSED,pre_framed,SCC,0.7750396728515625
000532,SCC,ddi,ASSESSED,pre_framed,ACK,0.5191802978515625
000585,SCC,ddi,ASSESSED,pre_framed,BCC,0.5370063781738281
000596,SCC,ddi,ASSESSED,pre_framed,NEV,0.6136093139648438
000581,SCC,ddi,ASSESSED,pre_framed,BCC,0.8210067749023438
000655,SCC,ddi,ASSESSED,pre_framed,BCC,0.5105781555175781
000477,SCC,ddi,ASSESSED,pre_framed,SCC,0.8277549743652344
000562,SCC,ddi,ASSESSED,pre_framed,SCC,0.39247894287109375
000591,SCC,ddi,ASSESSED,pre_framed,ACK,0.3997802734375
000600,SCC,ddi,ASSESSED,pre_framed,ACK,0.7275047302246094
000173,NEV,ddi,ASSESSED,pre_framed,NEV,0.6183090209960938
000058,NEV,ddi,ASSESSED,pre_framed,NEV,0.160125732421875
000181,NEV,ddi,ASSESSED,pre_framed,NEV,0.0
000152,NEV,ddi,ASSESSED,pre_framed,SEK,0.08044815063476562
000080,NEV,ddi,ASSESSED,pre_framed,NEV,0.6692848205566406
000207,NEV,ddi,ASSESSED,pre_framed,ACK,0.08362197875976562
000206,NEV,ddi,ASSESSED,pre_framed,SEK,0.5829124450683594
000109,NEV,ddi,ASSESSED,pre_framed,NEV,0.0850677490234375
000195,NEV,ddi,ASSESSED,pre_framed,SEK,0.3576927185058594
000120,NEV,ddi,ASSESSED,pre_framed,SEK,0.6283493041992188
000116,NEV,ddi,ASSESSED,pre_framed,NEV,0.7447700500488281
000197,NEV,ddi,ASSESSED,pre_framed,NEV,0.44353485107421875
000145,NEV,ddi,QUALITY_REJECTED,,,
000183,NEV,ddi,ASSESSED,pre_framed,SEK,0.4921455383300781
000121,NEV,ddi,ASSESSED,pre_framed,ACK,0.7447242736816406
000088,NEV,ddi,ASSESSED,pre_framed,NEV,0.8522758483886719
000238,NEV,ddi,ASSESSED,pre_framed,NEV,0.10539627075195312
000227,NEV,ddi,ASSESSED,pre_framed,ACK,0.4579887390136719
000191,NEV,ddi,ASSESSED,pre_framed,NEV,0.19555282592773438
000079,NEV,ddi,ASSESSED,pre_framed,SEK,0.6313133239746094
000159,NEV,ddi,ASSESSED,pre_framed,SEK,0.3800811767578125
000101,NEV,ddi,ASSESSED,pre_framed,SEK,0.3592414855957031
000155,NEV,ddi,ASSESSED,pre_framed,NEV,0.9438133239746094
000205,NEV,ddi,ASSESSED,pre_framed,SEK,0.35617828369140625
000092,NEV,ddi,QUALITY_REJECTED,,,
000182,NEV,ddi,ASSESSED,pre_framed,NEV,0.6852989196777344
000162,MEL,ddi,ASSESSED,pre_framed,NEV,0.14297866821289062
000007,MEL,ddi,ASSESSED,pre_framed,ACK,0.4319419860839844
000013,MEL,ddi,ASSESSED,pre_framed,SCC,0.2508277893066406
000009,MEL,ddi,ASSESSED,pre_framed,NEV,0.3340644836425781
000008,MEL,ddi,ASSESSED,pre_framed,NEV,0.29355621337890625
000002,MEL,ddi,ASSESSED,pre_framed,NEV,0.4572906494140625
000001,MEL,ddi,ASSESSED,pre_framed,SEK,0.4063568115234375
000168,SEK,ddi,ASSESSED,pre_framed,ACK,0.9520530700683594
000104,SEK,ddi,ASSESSED,pre_framed,ACK,0.4015922546386719
000192,SEK,ddi,ASSESSED,pre_framed,NEV,0.5521316528320312
000153,SEK,ddi,ASSESSED,pre_framed,ACK,0.3518943786621094
000172,SEK,ddi,ASSESSED,pre_framed,SEK,0.6514091491699219
000174,SEK,ddi,ASSESSED,pre_framed,BCC,0.38671875
000160,SEK,ddi,ASSESSED,pre_framed,ACK,0.5369834899902344
000201,SEK,ddi,ASSESSED,pre_framed,NEV,0.6118278503417969
000091,SEK,ddi,ASSESSED,pre_framed,SEK,0.4662933349609375
000203,SEK,ddi,ASSESSED,pre_framed,SEK,0.7877426147460938
000111,SEK,ddi,ASSESSED,pre_framed,SEK,0.14663314819335938
000105,SEK,ddi,ASSESSED,pre_framed,ACK,0.18639755249023438
000129,SEK,ddi,ASSESSED,pre_framed,BCC,0.7463417053222656
000247,SEK,ddi,ASSESSED,pre_framed,BCC,0.5456809997558594
000226,SEK,ddi,ASSESSED,pre_framed,NEV,0.3942680358886719
000180,SEK,ddi,ASSESSED,pre_framed,NEV,0.5076980590820312
000237,SEK,ddi,ASSESSED,pre_framed,SEK,0.3655967712402344
000178,SEK,ddi,ASSESSED,pre_framed,ACK,0.4903526306152344
000114,SEK,ddi,ASSESSED,pre_framed,SEK,0.6318893432617188
000142,SEK,ddi,ASSESSED,pre_framed,SEK,0.8305740356445312
000053,SEK,ddi,ASSESSED,pre_framed,NEV,0.11416244506835938
000187,SEK,ddi,ASSESSED,pre_framed,ACK,0.4527015686035156
000161,SEK,ddi,ASSESSED,pre_framed,NEV,0.6055030822753906
000169,SCC,ddi,ASSESSED,pre_framed,SCC,0.6697044372558594
000011,SCC,ddi,ASSESSED,pre_framed,SCC,0.5530967712402344
000015,SCC,ddi,ASSESSED,pre_framed,SCC,0.8034019470214844
000006,SCC,ddi,ASSESSED,pre_framed,SCC,0.7202720642089844
000014,SCC,ddi,ASSESSED,pre_framed,SCC,0.9693412780761719
000012,SCC,ddi,ASSESSED,pre_framed,ACK,0.6800422668457031
368748426,NEV,ddi2,ASSESSED,pre_framed,NEV,0.3402366638183594
408528605_cropped,NEV,ddi2,ASSESSED,pre_framed,NEV,0.3983802795410156
36017959,NEV,ddi2,ASSESSED,pre_framed,NEV,0.18790435791015625
4036263,NEV,ddi2,ASSESSED,pre_framed,NEV,0.5018844604492188
173751948,NEV,ddi2,ASSESSED,pre_framed,NEV,0.39435577392578125
208286973,NEV,ddi2,ASSESSED,pre_framed,SEK,0.5359573364257812
272144283,NEV,ddi2,ASSESSED,pre_framed,NEV,0.19191741943359375
544149906,ACK,ddi2,ASSESSED,pre_framed,SCC,0.3510284423828125
376452782,ACK,ddi2,ASSESSED,pre_framed,NEV,0.4305572509765625
1475311_cropped,ACK,ddi2,ASSESSED,pre_framed,BCC,0.3218574523925781
467987668,ACK,ddi2,ASSESSED,pre_framed,SEK,0.23034286499023438
609300330,NEV,ddi2,ASSESSED,pre_framed,NEV,0.3079109191894531
488599319_cropped,NEV,ddi2,ASSESSED,pre_framed,NEV,0.14928436279296875
474040772_cropped,BCC,ddi2,ASSESSED,pre_framed,ACK,0.276947021484375
59597411,BCC,ddi2,ASSESSED,pre_framed,SEK,0.0215301513671875
591287793_cropped,BCC,ddi2,ASSESSED,pre_framed,BCC,0.09058761596679688
68887205,BCC,ddi2,ASSESSED,pre_framed,SEK,0.2754669189453125
140138611,BCC,ddi2,ASSESSED,pre_framed,SEK,0.3787994384765625
310451016_cropped,BCC,ddi2,ASSESSED,pre_framed,BCC,0.24933624267578125
449817191,NEV,ddi2,ASSESSED,pre_framed,NEV,0.4021492004394531
3706164,NEV,ddi2,ASSESSED,pre_framed,NEV,0.15309524536132812
401209637,NEV,ddi2,ASSESSED,pre_framed,NEV,0.26300048828125
180565507,NEV,ddi2,ASSESSED,pre_framed,ACK,0.0
21800398,NEV,ddi2,ASSESSED,pre_framed,NEV,0.3873710632324219
4583385,NEV,ddi2,ASSESSED,pre_framed,NEV,0.2643013000488281
157362,NEV,ddi2,ASSESSED,pre_framed,ACK,0.19298171997070312
215873524,NEV,ddi2,ASSESSED,pre_framed,NEV,0.50555419921875
16845126,NEV,ddi2,ASSESSED,pre_framed,BCC,0.25247955322265625
508489103,NEV,ddi2,ASSESSED,pre_framed,ACK,0.09305953979492188
156936,NEV,ddi2,ASSESSED,pre_framed,MEL,0.20139694213867188
512128075,NEV,ddi2,ASSESSED,pre_framed,SCC,0.5376663208007812
383080411,NEV,ddi2,ASSESSED,pre_framed,NEV,0.323974609375
90164773,NEV,ddi2,ASSESSED,pre_framed,NEV,0.46352386474609375
110071340,NEV,ddi2,ASSESSED,pre_framed,NEV,0.042789459228515625
69748450_cropped,NEV,ddi2,ASSESSED,pre_framed,SCC,0.4336738586425781
210300111,NEV,ddi2,ASSESSED,pre_framed,MEL,0.548919677734375
4962743,NEV,ddi2,ASSESSED,pre_framed,NEV,0.05396270751953125
502317806_cropped,NEV,ddi2,ASSESSED,pre_framed,ACK,0.01371002197265625
564855241_cropped,NEV,ddi2,ASSESSED,pre_framed,NEV,0.19149398803710938
145405_cropped,NEV,ddi2,ASSESSED,pre_framed,NEV,0.3030891418457031
49466752,NEV,ddi2,ASSESSED,pre_framed,NEV,0.0
525653280,NEV,ddi2,ASSESSED,pre_framed,NEV,0.0
219101873_cropped,NEV,ddi2,ASSESSED,pre_framed,ACK,0.26287078857421875
382303398,NEV,ddi2,ASSESSED,pre_framed,NEV,0.2826881408691406
4545745_cropped,ACK,ddi2,ASSESSED,pre_framed,BCC,0.1933441162109375
230772823,ACK,ddi2,ASSESSED,pre_framed,NEV,0.0492401123046875
66910751,ACK,ddi2,ASSESSED,pre_framed,ACK,0.3084526062011719
114424496,NEV,ddi2,ASSESSED,pre_framed,NEV,0.208831787109375
70097714,ACK,ddi2,ASSESSED,pre_framed,ACK,0.6564483642578125
522388875_cropped,SEK,ddi2,ASSESSED,pre_framed,NEV,0.6166954040527344
601663287,NEV,ddi2,ASSESSED,pre_framed,ACK,0.15015029907226562
134770449,NEV,ddi2,ASSESSED,pre_framed,NEV,0.07730484008789062
581769038_cropped,NEV,ddi2,ASSESSED,pre_framed,NEV,0.017917633056640625
454371472_cropped,SEK,ddi2,ASSESSED,pre_framed,NEV,0.3200187683105469
421613260_cropped,SEK,ddi2,ASSESSED,pre_framed,NEV,0.46604156494140625
481732681,SEK,ddi2,ASSESSED,pre_framed,SEK,0.2814064025878906
67681366_cropped,SEK,ddi2,ASSESSED,pre_framed,ACK,0.22887420654296875
2079088_cropped,SEK,ddi2,ASSESSED,pre_framed,NEV,0.5673828125
404503794_cropped,SEK,ddi2,ASSESSED,pre_framed,ACK,0.59716796875
452753626,SEK,ddi2,ASSESSED,pre_framed,NEV,0.1389923095703125
